,label,category,level,weight,parent,1D,1W,1M,3M,1Y,2Y,5Y
XLP,Consumer Staples,stocks,2,60,VOO,0.0,-1.5903910942174155,-0.09859727835405166,-8.624298375788058,0.600809961478966,1.9061845443843146,25.352986412409322
XLE,Energy,stocks,2,70,VOO,0.0,-2.0723574528192485,-9.362812245401358,3.972428986566162,35.29035715475719,22.972174432446756,38.978636756788724
XLI,Industrials,stocks,2,70,VOO,0.0,-0.1982343681262836,6.144966913114033,-0.6303931726317473,14.763813761527581,22.150844007854012,93.01635170436138
XLC,Communication,stocks,2,60,VOO,0.0,2.9925438819083516,7.857736645158613,2.6993324207239597,10.494642529671003,22.076949552760713,168.45666748574524
XLU,Utilities,stocks,2,40,VOO,0.0,-2.001700692153112,1.522167656821668,2.412692726275631,8.615137231210811,15.947826747201828,53.67394192910565
XLRE,Real Estate,stocks,2,35,VOO,0.0,1.3778611788715303,7.743854209450641,1.9402258265235353,7.036760571408469,1.0682548400482015,37.35875734771401
XLB,Materials,stocks,2,35,VOO,0.0,-1.1162394660833321,4.664903052371698,-2.3121463165278864,18.57825568028902,12.218030407187975,51.143120818134626
NVDA,Nvidia,stocks,3,150,XLK,0.0,5.428611551347122,16.135242196734474,6.387480095932971,10.030996266349232,46.99932608665003,1383.725498162262
AAPL,Apple,stocks,3,140,XLK,0.0,2.2842373458612233,5.354103886595622,1.7957366339997731,21.456505115872908,14.02775887555996,95.24156743341695
MSFT,Microsoft,stocks,3,140,XLK,0.0,10.87982490758408,12.364401412429261,2.567838784025006,-20.58812089403815,-1.8418810718907492,97.52726949697296
AVGO,Broadcom,stocks,3,90,XLK,0.0,6.774327615308481,28.214072782773574,20.044744406787547,31.35214679988485,151.906752195366,844.0465918778116
AMD,AMD,stocks,3,70,XLK,0.0,5.337904909171782,26.672223440725446,25.337473078173545,49.72158019458674,89.45976564140615,329.4127308205959
ADBE,Adobe,stocks,3,55,XLK,0.0,8.568891517901095,1.5692455590640804,-6.796189081101191,-27.673157061467567,-52.37112460081133,-14.433599157423233
CRM,Salesforce,stocks,3,55,XLK,0.0,7.662462945684319,-4.0916953477625455,-3.9830727923878713,-25.837717483688106,-45.63467596957274,23.15141319155127
ORCL,Oracle,stocks,3,50,XLK,0.0,22.97052796140849,19.321529273942915,8.897671982285424,-31.37254442479177,-5.553972308470998,136.3274272011661
INTC,Intel,stocks,3,40,XLK,0.0,4.103881579764077,47.25624645886225,39.71601351328615,228.47749589153062,174.58775259566767,149.19792076845494
CSCO,Cisco,stocks,3,40,XLK,0.0,0.17027412742629033,0.7866051190392387,10.408369488065357,19.816974022298314,44.031399250375856,107.24912817382979
BRK-B,Berkshire,stocks,3,90,XLF,0.0,-1.2106683960173128,-0.2482783897695896,-5.1838989063207235,2.7347379209492426,-1.8609734379940321,67.02130919278454
